Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends,Ciudad
0,194.03369812293488,Private room,False,10.0,1,4.90569,52.41772,0,amsterdam
0,319.6400534295691,Private room,False,9.0,1,4.84639,52.34137,1,amsterdam
1,347.9952194596115,Private room,False,9.0,1,4.97512,52.36103,1,amsterdam
1,344.2457760176224,Private room,False,8.0,1,4.90005,52.37432,0,amsterdam
2,264.1014224451058,Private room,False,9.0,1,4.97512,52.36103,0,amsterdam
2,482.9751833712184,Private room,False,9.0,2,4.89417,52.37663,1,amsterdam
3,433.5293979799874,Private room,False,9.0,2,4.89417,52.37663,0,amsterdam
3,485.5529257375859,Private room,True,10.0,1,4.90051,52.37508,1,amsterdam
4,485.5529257375859,Private room,True,10.0,1,4.90051,52.37508,0,amsterdam
4,2771.541724275304,Entire home/apt,True,10.0,3,4.88467,52.38749,1,amsterdam
5,1001.8044196564572,Entire home/apt,False,9.0,2,4.86459,52.40175,1,amsterdam
5,552.808567478265,Private room,False,8.0,2,4.87699,52.38966,0,amsterdam
6,393.4572211937291,Entire home/apt,False,10.0,1,4.87391,52.38446,1,amsterdam
6,215.12431748412348,Private room,False,10.0,1,4.9157,52.38296,0,amsterdam
7,287.7697841726619,Private room,False,10.0,1,4.876,52.347,1,amsterdam
7,2771.3073840601787,Entire home/apt,True,10.0,3,4.88467,52.38749,0,amsterdam
8,909.4743748974762,Entire home/apt,False,10.0,1,4.87956,52.36953,1,amsterdam
8,1001.8044196564572,Entire home/apt,False,9.0,2,4.86459,52.40175,0,amsterdam
9,393.4572211937291,Private room,True,10.0,1,4.92496,52.37107,1,amsterdam
9,276.52145384669467,Private room,False,10.0,1,4.876,52.347,0,amsterdam
10,553.0429076933893,Entire home/apt,False,8.0,1,4.88934,52.34697,1,amsterdam
10,909.4743748974762,Entire home/apt,False,10.0,1,4.87956,52.36953,0,amsterdam
11,553.0429076933893,Entire home/apt,True,10.0,1,4.87417,52.37509,1,amsterdam
11,319.6400534295691,Private room,True,10.0,1,4.92496,52.37107,0,amsterdam
12,675.6028402034074,Entire home/apt,False,8.0,1,4.88934,52.34697,0,amsterdam
12,682.1643662268882,Entire home/apt,False,10.0,1,4.90222,52.35452,1,amsterdam
13,552.808567478265,Entire home/apt,True,10.0,1,4.87417,52.37509,0,amsterdam
13,233.63719447894456,Private room,False,8.0,1,4.99679,52.35645,1,amsterdam
14,209.03147189089125,Private room,False,8.0,1,4.99679,52.35645,0,amsterdam
14,368.8514986056758,Private room,False,10.0,1,4.88971,52.36148,1,amsterdam
15,497.50427670892606,Entire home/apt,True,9.0,1,4.87327,52.36265,1,amsterdam
15,368.8514986056758,Private room,True,10.0,1,4.9080900000000005,52.37455,0,amsterdam
16,368.8514986056758,Private room,False,10.0,1,4.88971,52.36148,0,amsterdam
16,1106.320155601903,Entire home/apt,False,10.0,2,4.890219999999999,52.37676,1,amsterdam
17,337.91859020926586,Private room,True,10.0,1,4.88368,52.362390000000005,0,amsterdam
17,612.0966419047173,Entire home/apt,True,10.0,1,4.86989,52.36523,1,amsterdam
18,313.54720783633684,Private room,True,10.0,1,4.8839,52.3631,0,amsterdam
18,858.1538677852507,Entire home/apt,False,10.0,3,4.86865,52.36047,1,amsterdam
19,447.5898108874465,Entire home/apt,False,9.0,1,4.87757,52.37336,0,amsterdam
19,332.0600848311579,Entire home/apt,False,10.0,1,4.857559999999999,52.37855,1,amsterdam
20,243.2451432990416,Private room,True,10.0,1,4.85206,52.367340000000006,0,amsterdam
20,203.87598715815625,Private room,True,10.0,1,4.89595,52.41122,1,amsterdam
21,269.0225669627165,Private room,False,8.0,1,4.89375,52.41081,1,amsterdam
21,933.8457572704052,Entire home/apt,False,10.0,2,4.89088,52.36422,0,amsterdam
22,251.91573125864133,Private room,False,10.0,1,4.886419999999999,52.38367,0,amsterdam
22,295.2686710566401,Private room,False,10.0,1,4.84631,52.34966,1,amsterdam
23,1096.4778665666815,Entire home/apt,False,9.0,2,4.92432,52.37676,1,amsterdam
23,377.2877463501512,Private room,False,10.0,1,4.88799,52.38325,0,amsterdam
24,245.5885454502848,Private room,True,10.0,1,4.89595,52.41122,0,amsterdam
24,572.727485763832,Entire home/apt,False,9.0,1,4.87657,52.37288,1,amsterdam
25,217.70205985049097,Private room,False,8.0,1,4.89375,52.41081,0,amsterdam
25,599.9109507182528,Entire home/apt,False,9.0,3,4.90806,52.34442,1,amsterdam
26,295.0343308415157,Private room,False,10.0,1,4.895,52.343,0,amsterdam
26,602.254352869496,Entire home/apt,False,10.0,2,4.86021,52.34502,1,amsterdam
27,1609.9172779040612,Entire home/apt,False,10.0,3,4.86225,52.35413,1,amsterdam
27,295.0343308415157,Private room,False,10.0,1,4.84631,52.34966,0,amsterdam
28,331.8257446160336,Entire home/apt,True,10.0,0,4.89271,52.35705,1,amsterdam
28,1032.9716682679916,Entire home/apt,False,9.0,2,4.92432,52.37676,0,amsterdam
29,796.5223912075552,Entire home/apt,False,10.0,2,4.8588,52.35848,1,amsterdam
29,270.4286082534624,Private room,True,10.0,1,4.82174,52.37781,0,amsterdam
30,524.6877416633469,Entire home/apt,False,9.0,1,4.87657,52.37288,0,amsterdam
30,540.6228762918005,Private room,False,9.0,1,4.98597,52.36376,1,amsterdam
31,599.6766105031285,Entire home/apt,False,9.0,3,4.90806,52.34442,0,amsterdam
31,344.48011623274675,Private room,False,10.0,1,4.90032,52.37525,1,amsterdam
32,479.4600801443536,Private room,False,10.0,1,4.90027,52.37469,1,amsterdam
32,516.0171537037471,Entire home/apt,False,9.0,2,4.888809999999999,52.36397,0,amsterdam
33,716.6123778501629,Entire home/apt,True,10.0,2,4.841,52.38253,1,amsterdam
33,602.254352869496,Entire home/apt,False,10.0,2,4.86021,52.34502,0,amsterdam
34,350.33862161085466,Private room,False,10.0,0,4.88774,52.382540000000006,1,amsterdam
34,504.06580273240695,Entire home/apt,False,9.0,2,4.94798,52.38786,0,amsterdam
35,1609.9172779040612,Entire home/apt,False,10.0,3,4.86225,52.35413,0,amsterdam
35,378.6937876408971,Entire home/apt,False,9.0,1,4.92428,52.3425,1,amsterdam
36,310.9694654699693,Entire home/apt,False,9.0,0,4.92058,52.33997,0,amsterdam
36,299.0181144986292,Private room,True,9.0,0,4.93986,52.348290000000006,1,amsterdam
37,202.70428608253465,Private room,False,10.0,1,4.885,52.42343,0,amsterdam
37,381.0371897921403,Entire home/apt,False,9.0,1,4.875859999999999,52.38154,1,amsterdam
38,796.2880509924308,Entire home/apt,False,10.0,2,4.8588,52.35848,0,amsterdam
38,430.24863496824696,Entire home/apt,False,10.0,1,4.84941,52.37788,1,amsterdam
39,504.06580273240695,Private room,False,9.0,1,4.98597,52.36376,0,amsterdam
39,344.48011623274675,Private room,False,9.0,1,4.89843,52.3734,1,amsterdam
40,319.6400534295691,Private room,False,10.0,1,4.90032,52.37525,0,amsterdam
40,406.8146134558152,Private room,True,9.0,1,4.82115,52.38375,1,amsterdam
41,614.4400440559605,Private room,False,9.0,1,4.8996900000000005,52.37513,0,amsterdam
41,749.6543481826917,Entire home/apt,True,10.0,2,4.86204,52.37659,1,amsterdam
42,467.0400487427648,Private room,False,10.0,1,4.90027,52.37469,0,amsterdam
42,491.8801115459424,Private room,False,9.0,1,4.89861,52.37326,1,amsterdam
43,716.3780376350386,Entire home/apt,True,10.0,2,4.841,52.38253,0,amsterdam
43,344.48011623274675,Private room,False,9.0,1,4.89837,52.37355,1,amsterdam
44,350.1042813957304,Private room,False,10.0,0,4.88774,52.382540000000006,0,amsterdam
44,817.1443301384951,Private room,False,10.0,5,4.91319,52.37075,1,amsterdam
45,420.4063459330256,Entire home/apt,False,9.0,1,4.91113,52.36575,1,amsterdam
45,319.6400534295691,Private room,False,10.0,1,4.89831,52.37457,0,amsterdam
46,467.0400487427648,Private room,False,10.0,1,4.90002,52.37341,0,amsterdam
46,255.6651747006304,Private room,True,10.0,1,4.895519999999999,52.34155,1,amsterdam
47,983.2915426616364,Entire home/apt,True,10.0,2,4.87317,52.36917,0,amsterdam
47,798.8657933587983,Entire home/apt,False,10.0,2,4.9075,52.36296,1,amsterdam
48,368.6171583905514,Private room,True,10.0,1,4.97847,52.29031,1,amsterdam
48,298.78377428350484,Private room,True,9.0,0,4.93986,52.348290000000006,0,amsterdam
49,848.0772385349051,Entire home/apt,False,10.0,3,4.876519999999999,52.36806,1,amsterdam
49,196.6114404893024,Private room,False,9.0,1,4.96617,52.40648,0,amsterdam
50,768.1672251775128,Entire home/apt,False,9.0,2,4.88875,52.35204,1,amsterdam
50,430.24863496824696,Entire home/apt,False,10.0,1,4.84941,52.37788,0,amsterdam
51,469.6177911091322,Private room,True,10.0,1,4.884,52.38,1,amsterdam
51,319.6400534295691,Private room,False,9.0,1,4.89843,52.3734,0,amsterdam
52,613.268342980339,Entire home/apt,False,9.0,1,4.89248,52.375240000000005,1,amsterdam
52,405.6429123801936,Private room,True,9.0,1,4.82115,52.38375,0,amsterdam
53,249.57232910739813,Private room,True,10.0,1,4.97698,52.36234,1,amsterdam
53,334.16914676727674,Private room,True,10.0,1,4.881,52.36600000000001,0,amsterdam
54,430.24863496824696,Entire home/apt,False,10.0,1,4.85087,52.38181,1,amsterdam
54,491.8801115459424,Private room,False,9.0,1,4.89861,52.37326,0,amsterdam
55,319.6400534295691,Private room,False,9.0,1,4.89837,52.37355,0,amsterdam
55,403.0651700138261,Entire home/apt,True,10.0,1,4.93208,52.3651,1,amsterdam
56,442.66866636983576,Private room,False,9.0,1,4.89968,52.37138,1,amsterdam
56,780.3529163639773,Private room,False,10.0,5,4.91319,52.37075,0,amsterdam
57,355.025425913341,Entire home/apt,False,9.0,1,4.91113,52.36575,0,amsterdam
57,977.4330372835284,Entire home/apt,False,9.0,2,4.88391,52.37043,1,amsterdam
58,1044.6886790242074,Entire home/apt,False,10.0,2,4.9075,52.36296,0,amsterdam
