Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends,Ciudad
2,482.9751833712184,Private room,False,9.0,2,4.89417,52.37663,1,amsterdam
3,433.5293979799874,Private room,False,9.0,2,4.89417,52.37663,0,amsterdam
5,1001.8044196564572,Entire home/apt,False,9.0,2,4.86459,52.40175,1,amsterdam
5,552.808567478265,Private room,False,8.0,2,4.87699,52.38966,0,amsterdam
8,1001.8044196564572,Entire home/apt,False,9.0,2,4.86459,52.40175,0,amsterdam
16,1106.320155601903,Entire home/apt,False,10.0,2,4.890219999999999,52.37676,1,amsterdam
21,933.8457572704052,Entire home/apt,False,10.0,2,4.89088,52.36422,0,amsterdam
23,1096.4778665666815,Entire home/apt,False,9.0,2,4.92432,52.37676,1,amsterdam
26,602.254352869496,Entire home/apt,False,10.0,2,4.86021,52.34502,1,amsterdam
28,1032.9716682679916,Entire home/apt,False,9.0,2,4.92432,52.37676,0,amsterdam
29,796.5223912075552,Entire home/apt,False,10.0,2,4.8588,52.35848,1,amsterdam
32,516.0171537037471,Entire home/apt,False,9.0,2,4.888809999999999,52.36397,0,amsterdam
33,716.6123778501629,Entire home/apt,True,10.0,2,4.841,52.38253,1,amsterdam
33,602.254352869496,Entire home/apt,False,10.0,2,4.86021,52.34502,0,amsterdam
34,504.06580273240695,Entire home/apt,False,9.0,2,4.94798,52.38786,0,amsterdam
38,796.2880509924308,Entire home/apt,False,10.0,2,4.8588,52.35848,0,amsterdam
41,749.6543481826917,Entire home/apt,True,10.0,2,4.86204,52.37659,1,amsterdam
43,716.3780376350386,Entire home/apt,True,10.0,2,4.841,52.38253,0,amsterdam
47,983.2915426616364,Entire home/apt,True,10.0,2,4.87317,52.36917,0,amsterdam
47,798.8657933587983,Entire home/apt,False,10.0,2,4.9075,52.36296,1,amsterdam
50,768.1672251775128,Entire home/apt,False,9.0,2,4.88875,52.35204,1,amsterdam
57,977.4330372835284,Entire home/apt,False,9.0,2,4.88391,52.37043,1,amsterdam
58,1044.6886790242074,Entire home/apt,False,10.0,2,4.9075,52.36296,0,amsterdam
58,522.3443395121037,Entire home/apt,True,9.0,2,4.862,52.34439,1,amsterdam
64,347.9952194596115,Entire home/apt,False,6.0,2,4.84034,52.35015,0,amsterdam
66,1179.6686429358142,Entire home/apt,True,10.0,2,4.88428,52.37163,0,amsterdam
69,467.0400487427648,Entire home/apt,False,9.0,2,4.85835,52.37612,0,amsterdam
78,761.8400393691562,Private room,False,9.0,2,4.87953,52.37845,0,amsterdam
81,987.0409861036252,Entire home/apt,False,10.0,2,4.80772,52.36412,1,amsterdam
83,946.5001288871184,Entire home/apt,True,10.0,2,4.89855,52.37279,1,amsterdam
84,1557.4250697162142,Entire home/apt,True,9.0,2,4.882280000000001,52.37451,1,amsterdam
87,1290.5115646896163,Entire home/apt,False,10.0,2,4.89511,52.3668,1,amsterdam
88,1043.516977948586,Entire home/apt,True,9.0,2,4.89647,52.34773,1,amsterdam
90,792.7729477655661,Entire home/apt,False,10.0,2,4.80772,52.36412,0,amsterdam
92,1557.19072950109,Entire home/apt,True,9.0,2,4.882280000000001,52.37451,0,amsterdam
97,1376.7487638553653,Entire home/apt,True,10.0,2,4.88707,52.39019,1,amsterdam
100,630.3751786844141,Entire home/apt,True,10.0,2,4.97726,52.32542,1,amsterdam
102,1376.514423640241,Entire home/apt,True,10.0,2,4.88707,52.39019,0,amsterdam
109,568.9780423218428,Private room,True,10.0,2,4.86873,52.37932,1,amsterdam
112,909.4743748974762,Entire home/apt,True,10.0,2,4.89072,52.34974,1,amsterdam
113,544.1379795186652,Private room,True,10.0,2,4.86873,52.37932,0,amsterdam
115,700.442903006585,Entire home/apt,True,9.0,2,4.82065,52.37422,1,amsterdam
