Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends
0,194.03369812293488,Private room,False,10.0,1,4.90569,52.41772,0
0,319.64005342956915,Private room,False,9.0,1,4.84639,52.34137,1
1,347.9952194596115,Private room,False,9.0,1,4.97512,52.36103,1
1,344.24577601762235,Private room,False,8.0,1,4.90005,52.37432,0
2,264.1014224451058,Private room,False,9.0,1,4.97512,52.36103,0
2,482.97518337121835,Private room,False,9.0,2,4.89417,52.37663,1
3,433.52939797998744,Private room,False,9.0,2,4.89417,52.37663,0
3,485.5529257375859,Private room,True,10.0,1,4.90051,52.37508,1
4,485.5529257375859,Private room,True,10.0,1,4.90051,52.37508,0
4,2771.5417242753033,Entire home/apt,True,10.0,3,4.88467,52.38749,1
5,1001.8044196564572,Entire home/apt,False,9.0,2,4.86459,52.40175,1
5,552.808567478265,Private room,False,8.0,2,4.87699,52.38966,0
6,393.4572211937291,Entire home/apt,False,10.0,1,4.87391,52.38446,1
6,215.12431748412345,Private room,False,10.0,1,4.9157,52.38296,0
7,287.76978417266184,Private room,False,10.0,1,4.876,52.347,1
7,2771.3073840601787,Entire home/apt,True,10.0,3,4.88467,52.38749,0
8,909.4743748974762,Entire home/apt,False,10.0,1,4.87956,52.36953,1
8,1001.8044196564572,Entire home/apt,False,9.0,2,4.86459,52.40175,0
9,393.4572211937291,Private room,True,10.0,1,4.92496,52.37107,1
9,276.52145384669467,Private room,False,10.0,1,4.876,52.347,0
10,553.0429076933893,Entire home/apt,False,8.0,1,4.88934,52.34697,1
10,909.4743748974762,Entire home/apt,False,10.0,1,4.87956,52.36953,0
11,553.0429076933893,Entire home/apt,True,10.0,1,4.87417,52.37509,1
11,319.64005342956915,Private room,True,10.0,1,4.92496,52.37107,0
12,675.6028402034074,Entire home/apt,False,8.0,1,4.88934,52.34697,0
12,682.1643662268883,Entire home/apt,False,10.0,1,4.90222,52.35452,1
13,552.808567478265,Entire home/apt,True,10.0,1,4.87417,52.37509,0
13,233.63719447894454,Private room,False,8.0,1,4.99679,52.35645,1
14,209.03147189089125,Private room,False,8.0,1,4.99679,52.35645,0
14,368.85149860567583,Private room,False,10.0,1,4.88971,52.36148,1
15,497.5042767089261,Entire home/apt,True,9.0,1,4.87327,52.36265,1
15,368.85149860567583,Private room,True,10.0,1,4.9080900000000005,52.37455,0
16,368.85149860567583,Private room,False,10.0,1,4.88971,52.36148,0
16,1106.320155601903,Entire home/apt,False,10.0,2,4.8902199999999985,52.37676,1
17,337.9185902092658,Private room,True,10.0,1,4.88368,52.36239000000001,0
17,612.0966419047172,Entire home/apt,True,10.0,1,4.86989,52.36523,1
18,313.54720783633684,Private room,True,10.0,1,4.8839,52.3631,0
18,858.1538677852507,Entire home/apt,False,10.0,3,4.86865,52.36047,1
19,447.5898108874465,Entire home/apt,False,9.0,1,4.87757,52.37336,0
19,332.0600848311579,Entire home/apt,False,10.0,1,4.8575599999999985,52.37855,1
20,243.2451432990416,Private room,True,10.0,1,4.85206,52.36734000000001,0
20,203.87598715815625,Private room,True,10.0,1,4.89595,52.41122,1
21,269.0225669627165,Private room,False,8.0,1,4.89375,52.41081,1
21,933.8457572704053,Entire home/apt,False,10.0,2,4.89088,52.36422,0
22,251.91573125864133,Private room,False,10.0,1,4.886419999999998,52.38367,0
22,295.26867105664013,Private room,False,10.0,1,4.84631,52.34966,1
23,1096.4778665666818,Entire home/apt,False,9.0,2,4.92432,52.37676,1
23,377.2877463501512,Private room,False,10.0,1,4.88799,52.38325,0
24,245.5885454502848,Private room,True,10.0,1,4.89595,52.41122,0
24,572.727485763832,Entire home/apt,False,9.0,1,4.87657,52.37288,1
25,217.70205985049094,Private room,False,8.0,1,4.89375,52.41081,0
25,599.9109507182527,Entire home/apt,False,9.0,3,4.90806,52.34442,1
26,295.03433084151567,Private room,False,10.0,1,4.895,52.343,0
26,602.254352869496,Entire home/apt,False,10.0,2,4.86021,52.34502,1
27,1609.9172779040612,Entire home/apt,False,10.0,3,4.86225,52.35413,1
27,295.03433084151567,Private room,False,10.0,1,4.84631,52.34966,0
28,331.8257446160336,Entire home/apt,True,10.0,0,4.89271,52.35705,1
28,1032.9716682679916,Entire home/apt,False,9.0,2,4.92432,52.37676,0
29,796.5223912075552,Entire home/apt,False,10.0,2,4.8588,52.35848,1
29,270.4286082534624,Private room,True,10.0,1,4.82174,52.37781,0
30,524.6877416633469,Entire home/apt,False,9.0,1,4.87657,52.37288,0
30,540.6228762918005,Private room,False,9.0,1,4.98597,52.36376,1
31,599.6766105031285,Entire home/apt,False,9.0,3,4.90806,52.34442,0
31,344.48011623274675,Private room,False,10.0,1,4.90032,52.37525,1
32,479.46008014435364,Private room,False,10.0,1,4.90027,52.37469,1
32,516.0171537037471,Entire home/apt,False,9.0,2,4.8888099999999985,52.36397,0
33,716.6123778501628,Entire home/apt,True,10.0,2,4.841,52.38253,1
33,602.254352869496,Entire home/apt,False,10.0,2,4.86021,52.34502,0
34,350.33862161085466,Private room,False,10.0,0,4.88774,52.38254000000001,1
34,504.0658027324069,Entire home/apt,False,9.0,2,4.94798,52.38786,0
35,1609.9172779040612,Entire home/apt,False,10.0,3,4.86225,52.35413,0
35,378.69378764089714,Entire home/apt,False,9.0,1,4.92428,52.3425,1
36,310.96946546996935,Entire home/apt,False,9.0,0,4.92058,52.33997,0
