Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends
0,185.79975694119844,Private room,True,10.0,1,13.42344,52.4915,0
0,185.79975694119844,Private room,True,10.0,1,13.42344,52.4915,1
1,194.91446199869117,Private room,False,9.0,1,13.468,52.519,0
1,387.4918201364868,Entire home/apt,False,10.0,2,13.503,52.50899999999999,1
2,176.21763111152657,Private room,False,9.0,1,13.47096,52.51527,0
2,194.91446199869117,Private room,False,9.0,1,13.468,52.519,1
3,207.7685332336169,Private room,True,10.0,1,13.42281,52.53139,0
3,171.77713377582498,Private room,False,9.0,1,13.47096,52.51527,1
4,150.74319902776475,Private room,False,10.0,1,13.5244,52.47841999999999,0
4,207.7685332336169,Private room,True,10.0,1,13.42281,52.53139,1
5,139.29139010937644,Private room,False,8.0,1,13.427270000000002,52.49224,0
5,162.42871833224268,Private room,False,10.0,1,13.5244,52.47841999999999,1
6,417.40674955595017,Entire home/apt,True,10.0,2,13.37279,52.50157,0
6,521.8752921379827,Private room,False,10.0,1,13.43282,52.51778,1
7,155.41740674955594,Private room,False,10.0,1,13.458620000000002,52.51229,1
7,135.55202393194352,Private room,True,10.0,1,13.43842,52.49265,0
8,171.77713377582498,Private room,False,9.0,1,13.384,52.512,1
8,260.8207908759465,Private room,True,10.0,1,13.285,52.507,0
9,147.2375432364214,Private room,True,10.0,1,13.43842,52.49265,1
9,191.17509582125828,Entire home/apt,True,10.0,1,13.58363,52.45568000000001,0
10,202.86061512573616,Entire home/apt,True,10.0,1,13.58363,52.45568000000001,1
10,235.58006917827427,Entire home/apt,True,10.0,1,13.43777,52.50422,0
11,95.12012713845004,Private room,False,9.0,1,13.46714,52.51507,0
11,301.48639805552955,Entire home/apt,False,9.0,1,13.41468,52.504,1
12,229.73730952603526,Private room,False,10.0,1,13.30886,52.46245,0
12,375.57259044591933,Entire home/apt,False,10.0,1,13.32388,52.49587,1
13,208.70337477797509,Entire home/apt,False,10.0,1,13.50004,52.51278000000001,0
13,577.4983640272973,Entire home/apt,False,10.0,2,13.286079999999998,52.47096,1
14,266.6635505281854,Entire home/apt,False,8.0,2,13.42084,52.53386999999999,0
14,157.52080022436198,Shared room,False,9.0,1,13.425820000000002,52.51723000000001,1
15,127.60587080489857,Private room,True,10.0,1,13.453120000000002,52.52474,1
15,375.57259044591933,Entire home/apt,False,10.0,1,13.32388,52.49587,0
16,285.36038141535005,Entire home/apt,False,8.0,2,13.419620000000002,52.53394,0
16,237.68346265308028,Private room,True,10.0,1,13.38199,52.49399,1
17,323.68888473403763,Entire home/apt,False,9.0,1,13.46,52.515,1
17,577.4983640272973,Entire home/apt,False,10.0,2,13.286079999999998,52.47096,0
