Id,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekends
0,238.99045918127555,Entire home/apt,False,False,6.0,True,0,1,10.0,99.0,1,0.35935500193188435,0.3526429602476477,404.40467740217673,24.11655185344749,893.4773434846892,67.65685332186857,19.05074,47.50076,0
0,332.0486910748696,Entire home/apt,False,False,6.0,True,0,1,10.0,99.0,1,0.35937227121439164,0.3526617571685863,404.39851052645173,24.13609080980724,893.41822816029,78.10078991794795,19.05074,47.50076,1
1,331.10870893453017,Entire home/apt,False,False,6.0,False,0,1,9.0,98.0,2,0.9294383014300625,0.20021941304451,1675.4929939281305,100.0,452.536451865194,39.559808881575705,19.04493,47.50405,1
1,300.79428490858675,Entire home/apt,False,False,6.0,False,0,1,9.0,98.0,2,0.9294272045729975,0.20023545976576285,1676.8760304527812,100.0,452.5397172151854,34.267699671639576,19.04493,47.50405,0
2,162.3819147436199,Entire home/apt,False,False,4.0,True,0,0,10.0,98.0,1,2.4508403461274133,0.2794517924934495,163.58849288046014,9.755550792642008,191.99226996503918,14.538245365345233,19.0217,47.49882,0
2,243.92536541805703,Entire home/apt,False,False,6.0,False,1,0,10.0,95.0,2,0.6743182762132057,0.314708843204395,430.05333709121686,25.66727158213732,698.7676741079222,61.08483753385504,19.04809,47.50297,1
3,118.43774968275605,Entire home/apt,False,False,2.0,False,0,0,9.0,92.0,1,1.5594493917394856,0.4779711018477072,191.71984397492741,11.433155492309126,326.2155875529234,24.702047924680837,19.06301,47.51126,0
3,206.56107533956856,Entire home/apt,False,False,5.0,True,1,0,10.0,99.0,2,1.3381139334815872,0.614127816562666,482.6268875986003,28.805067484472122,371.54163344531264,32.47940790198144,19.03685,47.50104,1
4,134.4174460685247,Entire home/apt,False,False,4.0,True,1,0,10.0,99.0,2,1.1138029796842701,0.27010164955792554,198.6034603660393,11.843657894758831,635.5158836019907,48.12321793508847,19.069000000000006,47.499,0
4,238.28547257602105,Entire home/apt,False,False,4.0,False,1,0,9.0,84.0,0,0.8356352870938694,0.17556817546513126,535.7629584076931,31.976436806913586,534.3170554156968,46.708901586358635,19.04655,47.50398,1
5,130.1875264369977,Entire home/apt,False,False,2.0,False,1,0,10.0,100.0,0,1.4687462118352774,0.3699213757906431,464.4826167514244,27.722146164423066,333.88463983085614,29.18751072043377,19.03621,47.5036,1
5,127.36758001597971,Entire home/apt,False,False,4.0,False,1,0,9.0,91.0,2,0.268470309756576,0.1669317025037006,635.6350064172368,37.90590329122936,1005.6534787494246,76.15117540531416,19.0548,47.50094,0
6,171.78173614701322,Entire home/apt,False,False,3.0,False,1,0,9.0,93.0,1,1.3158044505471933,0.7225960174972176,422.8255057657547,25.235886231577503,354.0454281163052,30.949925500916162,19.0369,47.50003,1
