Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends
0,250.56681392141738,Entire home/apt,True,10.0,1,16.365,48.223,0
0,324.66166467989626,Entire home/apt,True,10.0,2,16.33006,48.20921,1
1,150.76081621204685,Entire home/apt,True,10.0,1,16.38867,48.19104,1
1,156.60425870088588,Entire home/apt,False,10.0,1,16.333560000000002,48.17459,0
2,283.0563541593624,Entire home/apt,True,10.0,2,16.336,48.21100000000001,0
2,196.33966762499125,Entire home/apt,True,9.0,1,16.34236,48.20436,1
3,301.75537012364725,Entire home/apt,True,10.0,2,16.33006,48.20921,0
3,107.75307949419162,Private room,False,8.0,1,16.37837,48.24102,1
4,196.33966762499125,Entire home/apt,True,9.0,1,16.34198,48.20456,1
4,150.76081621204685,Entire home/apt,True,10.0,1,16.38867,48.19104,0
5,212.23383119463338,Entire home/apt,True,10.0,1,16.34682,48.2062,1
5,162.4477011897249,Private room,True,10.0,1,16.39755,48.24682,0
6,122.9460299651731,Private room,False,10.0,1,16.36009,48.22697,1
6,196.33966762499125,Entire home/apt,True,9.0,1,16.34236,48.20436,0
7,317.64953369328936,Entire home/apt,False,9.0,1,16.38027,48.22016,1
7,107.75307949419162,Private room,False,8.0,1,16.37837,48.24102,0
8,317.64953369328936,Entire home/apt,False,10.0,1,16.38168,48.22179000000001,1
8,196.33966762499125,Entire home/apt,True,9.0,1,16.3434,48.20412,0
9,212.23383119463338,Entire home/apt,True,10.0,1,16.34682,48.2062,0
9,341.95825444685977,Entire home/apt,False,10.0,1,16.38157,48.22008,1
10,235.6076011499895,Entire home/apt,True,10.0,1,16.34843,48.20637,0
10,341.95825444685977,Entire home/apt,False,10.0,1,16.38021,48.21908,1
11,251.5017647196316,Entire home/apt,False,9.0,1,16.38027,48.22016,0
11,341.95825444685977,Entire home/apt,False,10.0,1,16.38009,48.22041,1
12,251.5017647196316,Entire home/apt,False,10.0,1,16.38168,48.22179000000001,0
12,308.5337634107005,Entire home/apt,False,10.0,1,16.379070000000002,48.21155,1
13,294.74323913704035,Entire home/apt,False,10.0,1,16.328879999999998,48.21982,1
13,129.95816095177992,Entire home/apt,False,9.0,1,16.35247,48.18698,0
14,589.0190028749738,Entire home/apt,False,9.0,2,16.3287,48.22165,1
14,270.20078068391655,Entire home/apt,False,10.0,1,16.38021,48.21908,0
15,456.95720262721176,Entire home/apt,False,9.0,2,16.3287,48.22165,0
15,294.74323913704035,Entire home/apt,False,9.0,2,16.32996,48.2195,1
16,300.35294392632585,Entire home/apt,True,10.0,1,16.39134,48.20589,0
16,463.9693336138186,Entire home/apt,False,10.0,1,16.384339999999998,48.20004,1
17,155.43557020311806,Private room,False,10.0,1,16.366670000000006,48.19442,0
17,254.30661711427442,Entire home/apt,True,9.0,0,16.38937,48.21079,1
18,170.62852067409955,Entire home/apt,True,10.0,1,16.307489999999998,48.19626,0
18,351.54150012855575,Entire home/apt,True,9.0,0,16.37146,48.20771,1
19,463.9693336138186,Entire home/apt,False,10.0,1,16.384339999999998,48.20004,0
19,165.72002898347475,Entire home/apt,False,8.0,1,16.35812,48.23008,1
20,182.3154056517776,Private room,True,10.0,1,16.352999999999998,48.209,0
20,693.266016875862,Entire home/apt,False,9.0,1,16.331,48.205,1
21,186.52268424374168,Entire home/apt,True,10.0,0,16.345879999999998,48.20164000000001,0
21,252.67045321739946,Entire home/apt,True,9.0,1,16.375,48.21100000000001,1
22,237.477502746418,Entire home/apt,True,9.0,0,16.38937,48.21079,0
22,276.04422317275555,Entire home/apt,True,10.0,1,16.37454,48.21128,1
23,236.7762896477573,Entire home/apt,True,10.0,1,16.374000000000002,48.221,1
23,157.53920949910008,Entire home/apt,False,10.0,1,16.34423,48.18374,0
24,165.72002898347475,Entire home/apt,False,8.0,1,16.35812,48.23008,0
24,227.4267816656149,Entire home/apt,True,10.0,0,16.37367,48.22023,1
25,272.53815767945207,Entire home/apt,False,8.0,2,16.384120000000006,48.22136,1
25,204.2867494098124,Entire home/apt,False,10.0,1,16.34831,48.21384000000001,0
26,160.11032419418933,Entire home/apt,False,9.0,2,16.327560000000002,48.18447000000001,0
26,286.3286819531122,Entire home/apt,False,9.0,1,16.37388,48.20958,1
27,205.2217002080266,Entire home/apt,False,9.0,1,16.38458,48.19921,1
27,693.4997545754155,Entire home/apt,False,9.0,1,16.331,48.205,0
28,288.6660589486478,Entire home/apt,False,10.0,1,16.352999999999998,48.231,0
28,247.99569922632824,Entire home/apt,False,10.0,1,16.354,48.23,1
29,121.54360376785172,Private room,False,10.0,1,16.37431,48.1875,1
29,173.90084846784939,Entire home/apt,True,9.0,1,16.38198,48.21033,0
30,110.3241941892808,Private room,True,10.0,1,16.356479999999998,48.23342,1
30,236.7762896477573,Entire home/apt,True,10.0,1,16.374000000000002,48.221,0
31,227.4267816656149,Entire home/apt,True,10.0,0,16.37367,48.22023,0
31,341.95825444685977,Entire home/apt,False,8.0,1,16.38056,48.21919000000001,1
32,417.68926910221353,Entire home/apt,True,10.0,1,16.32784,48.21014,1
32,227.4267816656149,Entire home/apt,True,10.0,0,16.373,48.21991,0
33,256.8777318093635,Entire home/apt,True,10.0,2,16.346,48.201,0
33,308.5337634107005,Entire home/apt,False,7.0,1,16.38614,48.21911,1
34,189.09379893883084,Entire home/apt,False,10.0,1,16.35707,48.19191,0
34,185.58773344552742,Private room,False,10.0,1,16.34694,48.20747,1
35,263.1886496973097,Private room,True,10.0,1,16.35931,48.22579,1
35,263.1886496973097,Entire home/apt,False,9.0,1,16.37388,48.20958,0
36,157.53920949910008,Entire home/apt,False,10.0,1,16.35509,48.17338,0
36,139.30766893392237,Private room,True,10.0,1,16.36591,48.21907,1
37,197.27461842320545,Entire home/apt,False,10.0,1,16.38886,48.22141,0
37,162.21396349017138,Private room,False,10.0,1,16.38717,48.19469,1
38,247.99569922632824,Entire home/apt,False,10.0,1,16.354,48.23,0
38,409.5084496178389,Entire home/apt,False,10.0,1,16.317999999999998,48.224,1
39,338.2184512540028,Entire home/apt,False,10.0,1,16.36272,48.2155,0
39,260.8512727017741,Entire home/apt,False,10.0,1,16.38844,48.19152,1
40,227.19304396606134,Entire home/apt,True,10.0,1,16.415020000000002,48.2298,0
40,208.72776570133,Entire home/apt,False,10.0,1,16.36521,48.22118,1
41,417.68926910221353,Entire home/apt,True,10.0,1,16.32784,48.21014,0
41,316.4808451955216,Entire home/apt,False,9.0,2,16.338,48.206,1
42,308.5337634107005,Entire home/apt,False,9.0,1,16.369979999999998,48.21304,1
42,206.3903887057944,Entire home/apt,True,10.0,1,16.33138,48.1963,0
43,144.91737372320782,Private room,True,10.0,1,16.37027,48.1889,0
43,211.06514269686556,Entire home/apt,True,10.0,1,16.38099,48.19752,1
44,197.27461842320545,Entire home/apt,True,10.0,2,16.35764,48.19836,0
44,220.18091297945446,Entire home/apt,False,8.0,2,16.33566,48.21923,1
45,270.20078068391655,Entire home/apt,True,10.0,2,16.31926,48.2321,1
45,12942.99137507889,Entire home/apt,False,7.0,1,16.38614,48.21911,0
46,185.58773344552742,Private room,False,10.0,1,16.34694,48.20747,0
46,132.06180024776197,Private room,False,10.0,1,16.38927,48.19219,1
47,113.83025968258421,Private room,True,10.0,1,16.42375,48.16782,0
47,287.49737045088006,Entire home/apt,True,10.0,1,16.39563,48.19495,1
48,263.1886496973097,Private room,True,10.0,1,16.35931,48.22579,0
48,658.672837341935,Entire home/apt,False,9.0,2,16.38206,48.22004,1
49,162.4477011897249,Private room,False,10.0,1,16.38717,48.19469,0
49,197.04088072365192,Entire home/apt,True,10.0,1,16.386,48.221,1
50,172.7321599700816,Entire home/apt,False,10.0,2,16.38194,48.1442,0
50,266.4609774910596,Entire home/apt,True,10.0,1,16.34153,48.20822,1
